pcm,time_Base,AudioTimeLength,time_SpeechStart,time_SpeechEnd,time_EndAudioData,time_Result,result_status,time_resume,ISR_Mode, other, Result_content,rc,Confidence_score,Result
/fs/usb0/PcmRes/isr/400/shiqu/LSA/C3/hight_c3_1s_5s/hight_c3_1s_5s_7_encode.pcm,4209858086,7510,4209859547,1192,0,4209863541,MSG_Result,2945,1,0,我想去胡家庙。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""胡家庙"",""poi"":""胡家庙"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我想去胡家庙。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/400/jiaoqu/C3/LSA/low_c3_2.5s_3.5s/low_c3_2.5s_3.5s_167_encode.pcm,4209866067,8671,4209869036,1003,0,4209874241,MSG_Result,3003,1,0,我要到长江路与天山路交叉口。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""长江路与天山路交叉口"",""street"":""长江路"",""streets"":""天山路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要到长江路与天山路交叉口。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/400/jiaoqu/C4/LSA/low_c4_2.5s_3.5s/low_c4_2.5s_3.5s_164_encode.pcm,4209876850,10041,4209879912,1096,0,4209888245,MSG_Result,4854,1,0,我要去白米巷胡同合肥剪子巷交叉路口。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.6706000000000001,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""白米巷胡同合肥剪子巷交叉路口"",""street"":""白米巷胡同"",""streets"":""合肥剪子巷"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去白米巷胡同合肥剪子巷交叉路口。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/400/shiqu/LSA/C4/hight_c4_1s_5s/hight_c4_1s_5s_27_encode.pcm,4209890516,9579,4209891975,1053,0,4209897645,MSG_Result,2550,1,0,导航到振兴路与霞新路交叉口。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.8769,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""振兴路与霞新路交叉口"",""street"":""振兴路"",""streets"":""霞新路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""导航到振兴路与霞新路交叉口。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/400/shiqu/LSA/C4/hight_c4_1s_5s/hight_c4_1s_5s_1_encode.pcm,4209899441,8293,4209900900,1212,0,4209905601,MSG_Result,2867,1,0,我要到江苏东台市政府。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""江苏东台市政府"",""poi"":""东台市政府"",""province"":""江苏省"",""provinceAddr"":""江苏"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要到江苏东台市政府。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/400/jiaoqu/C4/LSA/low_c4_2s_4s/low_c4_2s_4s_321_encode.pcm,4209907244,7589,4209909824,1172,0,4209913667,MSG_Result,2834,1,0,我想去杭州日报社。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.7000000000000001,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""杭州市"",""cityAddr"":""杭州"",""ori_loc"":""杭州日报社"",""poi"":""日报社"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我想去杭州日报社。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/400/shiqu/LSA/C4/hight_c4_2s_4s/hight_c4_2s_4s_188_encode.pcm,4209916463,8642,4209918961,1695,0,4209923948,MSG_Result,2843,1,0,我要到京港澳高速岳阳东收费站。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.6143000000000001,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""岳阳市"",""cityAddr"":""岳阳"",""ori_loc"":""京港澳高速岳阳东"",""poi"":""岳阳东"",""street"":""京港澳高速"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要到京港澳高速岳阳东收费站。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/400/jiaoqu/C4/LSA/hight_c4_0.5s_5.5s/hight_c4_0.5s_5.5s_30_encode.pcm,4209926622,9061,4209927760,1292,0,4209933871,MSG_Result,3688,1,0,我要去遇到街与大方路交叉口。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.8769,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""遇到街与大方路交叉口"",""street"":""遇到街"",""streets"":""大方路"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去遇到街与大方路交叉口。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/400/jiaoqu/C4/LSA/hight_c4_2.5s_3.5s/hight_c4_2.5s_3.5s_213_encode.pcm,4209935991,9297,4209938970,1293,0,4209944740,MSG_Result,2952,1,0,我要去安定路和安定门外大街交口。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""安定路和安定门外大街交口"",""street"":""安定路"",""streets"":""安定门外大街"",""type"":""LOC_CROSS""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去安定路和安定门外大街交口。"",""version"":""3.5.0.1190""}
"
/fs/usb0/PcmRes/isr/400/jiaoqu/C3/LSA/hight_c3_1s_5s/hight_c3_1s_5s_117_encode.pcm,4209946808,7882,4209948264,1399,0,4209953246,MSG_Result,3556,1,0,我要去电子商贸城。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""ROUTE"",""pk_score"":0.5,""rc"":0,""semantic"":{""slots"":{""endLoc"":{""city"":""CURRENT_CITY"",""ori_loc"":""电子商贸城"",""poi"":""电子商贸城"",""type"":""LOC_POI""},""startLoc"":{""city"":""CURRENT_CITY"",""poi"":""CURRENT_POI"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""我要去电子商贸城。"",""version"":""3.5.0.1190""}
"
