pcm,time_Base,AudioTimeLength,time_SpeechStart,time_SpeechEnd,time_EndAudioData,time_Result,result_status,time_resume,ISR_Mode, other, Result_content,rc,Confidence_score,Result
/usb1/PcmRes/isr/800_Enc_NoWavHead/11map_locate/11map_locate_238_M002_coder.wav.pcm,1140078728,3792,1140079668,3819,1140082521,1140082997,MSG_Result,476,1,0,查一下孝感市应城市蒲阳大道在哪儿。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""POSITION"",""pk_score"":0.9,""rc"":0,""semantic"":{""slots"":{""location"":{""area"":""应城市"",""areaAddr"":""应城"",""city"":""孝感市"",""cityAddr"":""孝感"",""ori_loc"":""孝感市应城市蒲阳大道"",""street"":""蒲阳大道"",""type"":""LOC_STREET""}}},""service"":""map"",""text"":""查一下孝感市应城市蒲阳大道在哪儿。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/800_Enc_NoWavHead/11map_locate/11map_locate_245_F015_coder.wav.pcm,1140083060,4528,1140083999,4592,1140087590,1140087896,MSG_Result,306,1,0,查一下苏州市吴中区宝带西路的地址。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""POSITION"",""pk_score"":0.9,""rc"":0,""semantic"":{""slots"":{""location"":{""area"":""吴中区"",""areaAddr"":""吴中"",""city"":""苏州市"",""cityAddr"":""苏州"",""ori_loc"":""苏州市吴中区宝带西路"",""street"":""宝带西路"",""type"":""LOC_STREET""}}},""service"":""map"",""text"":""查一下苏州市吴中区宝带西路的地址。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/800_Enc_NoWavHead/11map_locate/11map_locate_252_F016_coder.wav.pcm,1140087946,3648,1140088884,3682,1140091597,1140091943,MSG_Result,346,1,0,查找北京北楼路爱好的地址。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""POSITION"",""pk_score"":0.8667,""rc"":0,""semantic"":{""slots"":{""location"":{""city"":""北京市"",""cityAddr"":""北京"",""ori_loc"":""北京北楼路爱好"",""poi"":""爱好"",""street"":""北楼路"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""查找北京北楼路爱好的地址。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/800_Enc_NoWavHead/11map_locate/11map_locate_259_F016_coder.wav.pcm,1140092149,5696,1140093088,5715,1140097848,1140098266,MSG_Result,418,1,0,查找运城市永济市卓尼县运文线路口地址。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""POSITION"",""pk_score"":0.6444000000000001,""rc"":0,""semantic"":{""slots"":{""location"":{""area"":""永济市"",""areaAddr"":""永济"",""city"":""运城市"",""cityAddr"":""运城"",""ori_loc"":""运城市永济市卓尼县运文线路口"",""poi"":""卓尼县运文线路口"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""查找运城市永济市卓尼县运文线路口地址。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/800_Enc_NoWavHead/11map_locate/11map_locate_266_M003_coder.wav.pcm,1140098317,3904,1140099257,3984,1140102224,1140102595,MSG_Result,371,1,0,查查北京市泰华芳酒家在哪儿。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""POSITION"",""pk_score"":0.6923,""rc"":0,""semantic"":{""slots"":{""location"":{""city"":""北京市"",""cityAddr"":""北京"",""ori_loc"":""北京市泰华芳酒家"",""poi"":""泰华芳酒家"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""查查北京市泰华芳酒家在哪儿。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/800_Enc_NoWavHead/11map_locate/11map_locate_273_F017_coder.wav.pcm,1140102656,5696,1140103596,5751,1140108355,1140108786,MSG_Result,431,1,0,查查宜春市中国联通新华平价手机城的位置。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""POSITION"",""pk_score"":0.6211,""rc"":0,""semantic"":{""slots"":{""location"":{""city"":""宜春市"",""cityAddr"":""宜春"",""ori_loc"":""宜春市中国联通新华平价手机城"",""poi"":""中国联通新华平价手机城"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""查查宜春市中国联通新华平价手机城的位置。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/800_Enc_NoWavHead/11map_locate/11map_locate_280_F017_coder.wav.pcm,1140108837,4160,1140109776,4215,1140113000,1140113328,MSG_Result,328,1,0,查查瑶海区纪律检查委员会的位置。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""POSITION"",""pk_score"":0.6267,""rc"":0,""semantic"":{""slots"":{""location"":{""area"":""瑶海区"",""areaAddr"":""瑶海"",""city"":""CURRENT_CITY"",""ori_loc"":""瑶海区纪律检查委员会"",""poi"":""纪律检查委员会"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""查查瑶海区纪律检查委员会的位置。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/800_Enc_NoWavHead/11map_locate/11map_locate_287_F018_coder.wav.pcm,1140113383,2480,1140114323,2552,1140115865,1140116178,MSG_Result,313,1,0,第三十中学在哪儿。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""POSITION"",""pk_score"":0.7000000000000001,""rc"":0,""semantic"":{""slots"":{""location"":{""city"":""CURRENT_CITY"",""ori_loc"":""第三十中学"",""poi"":""第三十中学"",""type"":""LOC_POI""}}},""service"":""map"",""text"":""第三十中学在哪儿。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/800_Enc_NoWavHead/13map_on_the_way/13map_on_the_way_002_M097_coder.wav.pcm,1140116225,1984,1140117137,2084,1140118211,1140118827,MSG_Result,616,1,0,前方有没有肯德基。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""QUERY"",""pk_score"":1,""rc"":0,""semantic"":{""slots"":{""location"":{""city"":""CURRENT_CITY"",""ori_loc"":""肯德基"",""poi"":""肯德基"",""type"":""LOC_POI""},""queried"":""ON_THE_WAY""}},""service"":""map"",""text"":""前方有没有肯德基。"",""version"":""3.5.0.1190""}
"
/usb1/PcmRes/isr/800_Enc_NoWavHead/13map_on_the_way/13map_on_the_way_009_M098_coder.wav.pcm,1140118876,2848,1140119785,2880,1140121726,1140122058,MSG_Result,332,1,0,我们现在沿途中的音像店。,0,0,"{""bislocalresult"":""1"",""language"":""zh_cn_mandarin"",""nlocalconfidencescore"":""0"",""operation"":""QUERY"",""pk_score"":0.6364000000000001,""rc"":0,""semantic"":{""slots"":{""location"":{""city"":""CURRENT_CITY"",""ori_loc"":""音像店"",""poi"":""音像店"",""type"":""LOC_POI""},""queried"":""ON_THE_WAY""}},""service"":""map"",""text"":""我们现在沿途中的音像店。"",""version"":""3.5.0.1190""}
"
